file,mean_rt,std_rt,median_rt,min_rt,max_rt,accuracy
A00056002_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,45.16129032258064
A00056002_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,53.84615384615385
A00056002_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,28.000000000000004
A00056054_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00056054_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,56.00000000000001
A00056054_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
A00056116_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,72.0
A00056116_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00056116_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,68.0
A00056166_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00056166_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,46.15384615384615
A00056166_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,46.15384615384615
A00056257_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,68.0
A00056257_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,53.84615384615385
A00056257_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,57.692307692307686
A00056428_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,52.0
A00056428_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00056428_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,24.0
A00056604_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,34.48275862068966
A00056604_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00056604_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,46.15384615384615
A00056693_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00056693_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,50.0
A00056693_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,36.0
A00056716_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,64.0
A00056716_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,68.0
A00056716_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,72.0
A00056723_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,76.92307692307693
A00056723_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,42.30769230769231
A00056733_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00056733_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,55.55555555555556
A00056733_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,56.00000000000001
A00056762_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00056762_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.0
A00056762_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,44.0
A00056913_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,56.00000000000001
A00056913_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00056913_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.0
A00057092_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,60.0
A00057092_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,52.0
A00057092_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,64.0
A00057599_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,72.0
A00057599_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,36.0
A00057599_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,40.74074074074074
A00057630_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,64.0
A00057630_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,69.23076923076923
A00058596_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00058775_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,50.0
A00058775_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,44.0
A00058775_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,40.0
A00059063_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,51.85185185185185
A00059063_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.74074074074074
